id,gmt_offset_seconds,uses_dst,dst seconds,start month,start week,start day,start hour,end month,end week,end day,end hour,dst end seconds
America/Guatemala,-21600,FALSE,3600,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
America/Guyana,-10800,FALSE,3600,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
America/Halifax,-14400,TRUE,3600,3,2,Sunday,2,11,1,Sunday,2,0
America/Indiana/Indianapolis,-18000,TRUE,3600,3,2,Sunday,2,11,1,Sunday,2,0
America/Juneau,-32400,TRUE,3600,3,2,Sunday,2,11,1,Sunday,2,0
America/La_Paz,-14400,FALSE,3600,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
America/Lima,-18000,FALSE,3600,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
America/Lima,-18000,FALSE,3600,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
America/Los_Angeles,-28800,TRUE,3600,3,2,Sunday,2,11,1,Sunday,2,0
America/Mazatlan,-25200,TRUE,3600,4,1,Sunday,2,10,5,Sunday,2,0
America/Mexico_City,-21600,TRUE,3600,4,1,Sunday,2,10,5,Sunday,2,0
America/Mexico_City,-21600,TRUE,3600,4,1,Sunday,2,10,5,Sunday,2,0
America/Monterrey,-21600,TRUE,3600,4,1,Sunday,2,10,5,Sunday,2,0
America/Montevideo,-10800,FALSE,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
America/Montreal,-18000,TRUE,3600,3,2,Sunday,2,11,1,Sunday,2,0
America/New_York,-18000,TRUE,3600,3,2,Sunday,2,11,1,Sunday,2,0
America/Nome,-32400,TRUE,3600,3,2,Sunday,2,11,1,Sunday,2,0
America/Phoenix,-25200,FALSE,3600,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
America/Puerto_Rico,-14400,FALSE,3600,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
America/Regina,-21600,FALSE,3600,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
America/Santiago,-14400,FALSE,3600,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
America/Sao_Paulo,-10800,FALSE,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
America/St_Johns,-12600,TRUE,3600,3,2,Sunday,2,11,1,Sunday,2,0
America/St_Thomas,-14400,TRUE,3600,3,2,Sunday,2,11,1,Sunday,2,0
America/Thunder_Bay,-18000,TRUE,3600,3,2,Sunday,2,11,1,Sunday,2,0
America/Tijuana,-28800,TRUE,3600,3,2,Sunday,2,11,1,Sunday,2,0
America/Toronto,-18000,TRUE,3600,3,2,Sunday,2,11,1,Sunday,2,0
America/Vancouver,-28800,TRUE,3600,3,2,Sunday,2,11,1,Sunday,2,0
America/Whitehorse,-28800,TRUE,3600,3,2,Sunday,2,11,1,Sunday,2,0
America/Winnipeg,-21600,TRUE,3600,3,2,Sunday,2,11,1,Sunday,2,0
Asia/Almaty,21600,FALSE,3600,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
Asia/Amman,7200,TRUE,3600,3,5,Friday,0,10,5,Friday,1,0
Asia/Baghdad,10800,FALSE,3600,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
Asia/Baku,14400,TRUE,3600,3,5,Sunday,4,10,5,Sunday,5,0
Asia/Bangkok,25200,FALSE,3600,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
Asia/Bangkok,25200,FALSE,3600,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
Asia/Chongqing,28800,FALSE,3600,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
Asia/Colombo,19800,FALSE,3600,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
Asia/Dhaka,21600,FALSE,3600,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
Asia/Dhaka,21600,FALSE,3600,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
Asia/Hebron,7200,FALSE,3600,3,4,6,1,10,4,3,0,0
